,title,date,author,gender
310,The Black Hole War: My Battle with Stephen Hawking to Make the World Safe for Quantum Mechanics,2009-02-23,"Luis Alvarez-Gaume , CERN.",male
311,Cosmic Impressions: Traces of God in the Laws of Nature,2009-04-01,"André Martin , CERN.",male
312,Relativity: A Very Short Introduction,2009-04-01,"Robert Cailliau , CERN.",male
313,The Thermodynamic Universe: Exploring the Limits of Physics,2009-04-01,Not Found,unknown
314,The Martians of Science: Five Physicists Who Changed the Twentieth Century,2009-07-15,"Károly Banicz , Fermilab.",male
315,Playing with Planets,2009-07-15,"Herbi Dreiner,  University of Bonn.",unknown
316,"The Strangest Man: The Hidden Life of Paul Dirac, Quantum Genius",2009-08-25,Not Found,unknown
317,Introduction to Elementary Particle Physics,2009-09-29,"James W Rohlf , Boston University.",male
318,Cosmology,2009-09-29,"Massimo Giovannini , CERN.",male
319,The Quantum Frontier: The Large Hadron Collider,2009-09-30,"Jordan Juras , McGill University.",male
320,The Large Hadron Collider: a Marvel of Technology,2009-09-30,"Horst Wenninger , CERN.",male
321,"LEP – The Lord of the Collider Rings at CERN, 1980–2000: The Making, Operation and Legacy of the World’s Largest Scientific Instrument",2009-10-30,"Gordon Fraser , former editor of  CERN Courier  and editor of  The New Physics for the 21st Century , recently reissued by Cambridge University Press in paperback.",male
322,Collider: The Search for the World’s Smallest Particles,2009-12-07,"Gordon Fraser , Divonne-les-Bains.",male
323,Voyage to the Heart of Matter: the ATLAS Experiment at CERN,2009-12-07,"Valerie Jamieson , deputy features editor,  New Scientist .",female
324,"First Principles, The Crazy Business of Doing Serious Science",2010-01-20,"Gordon Fraser  is editor of  The New Physics for the 21st Century , recently reissued by Cambridge University Press in paperback.",male
325,"The Primordial Density Perturbation: Cosmology, Inflation and the Origin of Structure",2010-01-20,"Massimo Giovannini , CERN and INFN (Milan-Bicocca).",male
326,Perspectives on LHC Physics,2010-02-24,"Ben Allanach , DAMTP, University of Cambridge.",male
327,Plastic Fantastic: How the Biggest Fraud in Physics Shook the Scientific World,2010-02-24,"Carlos Lourenço , CERN.",male
328,Deciphering the Cosmic Number: The Strange Friendship of Wolfgang Pauli and Carl Jung,2010-03-30,"Beatrice Bressan , CERN.",female
329,Gli anelli del sapere. The Rings of Knowledge,2010-03-31,"Antonella Del Rosso , CERN.",female
330,A Zeptospace Odyssey: A Journey into the Physics of the LHC,2010-03-31,"Riccardo Barbieri , Scuola Normale Superiore, Pisa.",male
331,Reviews of Accelerator Science and Technology Volumes 1 and 2,2010-05-05,"Emmanuel Tsesmelis , CERN.",male
332,The Standard Model and Beyond,2010-06-07,"Philip Burrows , John Adams Institute, Oxford University.",male
333,The Edge of Physics: A Journey to Earth’s Extremes to Unlock the Secrets of the Universe,2010-07-20,"Pauline Gagnon , Indiana University and ATLAS.",female
334,Lake Views: This World and the Universe,2010-07-20,"Luis Álvarez-Gaumé , CERN.",male
335,"Extensive Air Showers: High-Energy Phenomena and Astrophysical Aspects – A Tutorial, Reference Manual and Data Book",2010-08-24,"Lawrence Jones , Michigan.",male
336,Exact solutions to Einstein Field Equations (2nd edition),2010-08-24,"Luis Álvarez-Gaumé , CERN.",male
337,Relatività Generale e Teoria della Gravitazione,2010-09-28,"Diego Casadei , New York University and CERN.",male
338,Quantum Chromodynamics: Perturbative and Nonperturbative Aspects,2010-09-28,"Agustin Sabio Vera , Department of Theoretical Physics and Institute for Theoretical Physics IFT-UAM/CSIC, Autonoma University of Madrid.",male
339,Presenting Science: A Practical Guide to Giving a Good Talk and The Craft of Scientific Communication,2010-10-26,"James Gillies , CERN.",male
340,"Ultraviolet and Soft X-ray Free-Electron Lasers: Introduction to Physical Principles, Experimental Results, Technological Challenges",2010-10-26,"Nikolay Vinokurov , Budker Institute of Nuclear Physics.",male
341,"Massive: The Hunt for the God Particle by Ian Sample, Virgin Books.",2010-11-30,"Don Lincoln , Fermilab.",male
342,The Shape of Inner Space: String Theory and the Geometry of the Universe’s Hidden Dimensions,2010-11-30,"Gordon Fraser , Divonne-les-Bains.",male
343,The Miniatom Project: A Science Thriller,2010-11-30,"Barbara Warmbein , DESY.",female
344,Postcards from the Edge of the Universe,2010-11-30,"Emma Sanders , CERN.",female
345,On Fact and Fraud: Cautionary Tales from the Front Lines of Science,2010-11-30,"Carlos Lourenço , CERN.",male
346,Hubble: A Journey Through Space and Time,2010-11-30,"Jesse Karjalainen , Bristol.",male
347,The Housekeeper and the Professor,2010-11-30,"James Gillies , CERN.",male
348,Lepton Dipole Moments,2011-01-25,"James Wells , CERN.",male
349,Phenomenology of Ultra-Relativistic Heavy-Ion Collisions,2011-01-25,"Marek Gazdzicki , Universities of Frankfurt and Kielce.",male
350,Quantum Field Theory in Curved Spacetime: Quantized Fields and Gravity and Exact Space–Times in Einstein’s General Relativity,2011-01-25,"Massimo Giovannini , CERN and INFN (Milan-Bicocca).",male
351,BCS: 50 Years,2011-02-23,"John Swain , Northeastern University.",male
352,NIST Handbook of Mathematical Functions,2011-02-23,Not Found,unknown
353,"Exact Methods in Low-Dimensional Statistical Physics and Quantum Computing: Lecture Notes from the Les Houches Summer School: Volume 89, July 2008",2011-02-23,Not Found,unknown
354,Lectures on light: Nonlinear and Quantum Optics using the Density Matrix,2011-02-23,Not Found,unknown
355,Field Computation for Accelerator Magnets: Analytical and Numerical Methods for Electromagnetic Design and Optimization,2011-03-30,"John Simkin , Vector Fields Software.",male
356,Neutrino,2011-03-30,"Hugh Gallagher , Tufts University.",male
357,How to Teach Quantum Physics to Your Dog,2011-03-30,"Catriona Charlesworth , St Jean de Gonville.",female
358,Induction Accelerators,2011-06-06,"William Barletta , director of the US Particle Accelerator School and adjunct professor of physics at MIT and UCLA.",male
359,Exploring Fundamental Particles,2011-06-06,"Carlos Lourenço , CERN.",male
360,"Crashes, Crises, and Calamities: How We Can Use Science to Read the Early-Warning Signs",2011-07-19,"Antonella Del Rosso , CERN.",female
361,Present at the Creation: The Story of CERN and the Large Hadron Collider,2011-07-19,"Helmut Reich , formerly CERN.",male
362,The Quantum Story,2011-07-19,"Carlos Lourenço , CERN.",male
363,Numerical Relativity. Solving Einstein’s Equations on the Computer,2011-08-26,"Massimo Giovannini , CERN and INFN Milan-Bicocca.",male
364,Maîtriser le nucléaire : Que sait-on et que peut-on faire après Fukushima ?,2011-08-26,"André Martin , CERN.",male
365,The Poetry of Physics and the Physics of Poetry,2011-09-23,"Hermine K Wöhri , CERN.",female
366,Introduction to the Theory of the Universe: Hot Big Bang Theory and Introduction to the Theory of the Universe: Cosmological Perturbations and Inflationary Theory,2011-09-23,"John March-Russell , Oxford University.",male
367,The Pursuit of Quantum Gravity: Memoirs of Bryce DeWitt from 1946 to 2004 and Bryce DeWitt’s Lectures on Gravitation,2011-10-25,"Luis Álvarez-Gaumé , CERN.",male
368,Gravitation: Foundations and Frontiers,2011-10-25,"Johann Rafelski , University of Arizona.",male
369,LHC,2011-11-23,"Michael Marten , Science Photo Library.",male
370,"The Beautiful Invisible: Creativity, Imagination, and Theoretical Physics",2011-11-23,"Carlos Lourenço , CERN.",male
371,Constructing Reality: Quantum Theory and Particle Physics,2011-11-23,"John Swain , Northeastern University.",male
372,"The Infinity Puzzle: How the quest to understand quantum field theory led to extraordinary science, high politics and the world’s most expensive experiment",2012-01-25,"Gordon Fraser , author of  Cosmic Anger , a biography of Abdus Salam that is now available in paperback.",male
373,Risk – A very short Introduction,2012-01-25,"Robert Cailliau , Prévessin.",male
374,Primordial Cosmology,2012-01-25,Not Found,unknown
375,Neutron Physics for Nuclear Reactors: Unpublished Writings by Enrico Fermi,2012-01-25,Not Found,unknown
376,The Nucleon–Nucleon Interaction and the Nuclear Many-Body Problem: Selected Papers of Gerald E Brown and T T S Kuo,2012-01-25,Not Found,unknown
377,Measurements and their Uncertainties: A Practical Guide to Modern Error Analysis,2012-01-25,Not Found,unknown
378,Dark Energy: Theory and Observations,2012-01-25,Not Found,unknown
379,Symmetries and Conservation Laws in Particle Physics: An Introduction to Group Therapy for Particle Physics,2012-01-25,Not Found,unknown
380,Weaving the Universe: Is Modern Cosmology Discovered or Invented?,2012-01-25,Not Found,unknown
381,Gribov-80 Memorial Volume: Quantum Chromodynamics and Beyond: Proceedings of the Memorial Workshop Devoted to the 80th Birthday of V N Gribov,2012-02-23,Not Found,unknown
382,The World According to Quantum Mechanics: Why the Laws of Physics Make Perfect Sense After All,2012-02-23,Not Found,unknown
383,Strong Coupling Gauge Theories in LHC Era: Proceedings of the Workshop in Honor of Toshihide Maskawa’s 70th Birthday and 35th Anniversary of Dynamical Symmetry Breaking in SCGT,2012-02-23,Not Found,unknown
384,Theory of High-Temperature Superconductivity: A Conventional Approach,2012-02-23,Not Found,unknown
385,Exclusive Reactions at High Momentum Transfer IV: Proceedings of the 4th Workshop,2012-02-23,Not Found,unknown
386,"Quips, Quotes and Quanta: An Anecdotal History of Physics, 2nd Edition",2012-02-23,Not Found,unknown
387,Radioactivity: A History of a Mysterious Science,2012-02-23,"Cian O’Luanaigh , CERN.",male
388,Physics: A Student Companion,2012-02-23,"George Lafferty , Manchester University.",male
389,Advanced Statistical Mechanics,2012-02-23,Not Found,unknown
390,"Physics Beyond the Standard Models of Particles, Cosmology and Astrophysics",2012-02-23,Not Found,unknown
391,"Modern Perspectives in Lattice QCD: Quantum Field Theory and High Performance Computing. Lecture Notes of the Les Houches Summer School: Volume 93, August 2009",2012-03-27,Not Found,unknown
392,Relativistic Quantum Physics: From Advanced Quantum Mechanics to Introductory Quantum Field Theory,2012-03-27,Not Found,unknown
393,Weimar Culture and Quantum Mechanics: Selected Papers by Paul Forman and Contemporary Perspectives on the Forman Thesis,2012-03-27,Not Found,unknown
394,"Neutrino Physics, Second Edition",2012-03-27,Not Found,unknown
395,Introduction to Black Hole Physics,2012-03-27,Not Found,unknown
396,Quantum Engineering: Theory and Design of Quantum Coherent Structures,2012-03-27,Not Found,unknown
397,Cosmic Rays for Particle and Astroparticle Physics: Proceedings of the 12th ICATPP Conference,2012-03-27,Not Found,unknown
398,International Seminar on Nuclear War and Planetary Emergencies: 43rd Session,2012-03-27,Not Found,unknown
399,L’enigma dei raggi cosmici. Le più grandi energie dell’ universo,2012-04-27,"Roberto Battiston , University of Perugia.",male
400,The Universe: A Challenge to the Mind,2012-04-27,Not Found,unknown
401,An Introduction to String Theory and D-Brane Dynamics: With Problems and Solutions (2nd Edition),2012-04-27,Not Found,unknown
402,Adventures in Cosmology,2012-04-27,Not Found,unknown
403,A Modern Introduction to Particle Physics (3rd edition),2012-05-31,Not Found,unknown
404,"CERN’s accelerators, experiments and international integration 1959–2009. The European Physical Journal H 36 (4).",2012-05-31,"Christine Sutton , CERN.",female
405,Principles of Radiation Interaction in Matter and Detection (3rd edition),2012-05-31,Not Found,unknown
406,The Fundamentals of Imaging: From Particles to Galaxies,2012-05-31,Not Found,unknown
407,Powering the Future: How We Will (Eventually) Solve the Energy Crisis and Fuel the Civilization of Tomorrow,2012-07-18,"Massimo Giovannini , CERN and INFN Milan-Bicocca.",male
408,"How the hippies saved physics: science, counterculture, and the quantum revival",2012-07-18,"Carlos Lourenço , CERN.",male
409,The History of Mathematics: A Very Short Introduction,2012-07-18,"Herbert Dreiner , University of Bonn.",male
410,Pierre-Gilles de Gennes: A Life in Science,2012-08-23,"François Vannucci,  University of Paris 7 and LPNHE/APC.",male
411,Time Machines,2012-08-23,"Michael Marten , Science Photo Library.",male
412,"The Quantum Exodus: Jewish Fugitives, the Atomic Bomb, and the Holocaust",2012-09-27,"Herwig Schopper , University of Hamburg and CERN.",male
413,Advanced Topics in Quantum Field,2012-11-06,"Luis Álvarez-Gaumé , CERN.",male
414,Supergravity,2012-11-06,"John March-Russell , University of Oxford.",male
415,"About Time: From Sun Dials to Quantum Clocks, How the Cosmos Shapes Our Lives – And How We Shape the Cosmos",2012-11-27,"Gordon Fraser  is author of Quantum Exodus: Fugitive Jews, the Atomic Bomb, and the Holocaust (OUP 2012).",male
416,Higgs Discovery: The Power of Empty Space!,2012-11-27,"Carlos Lourenço , CERN.",male
417,Higgs: The Invention and Discovery of the ‘God Particle’,2012-11-27,"Carlos Lourenço , CERN.",male
418,"The 4% Universe. Dark Matter, Dark Energy, and the Race to Discover the Rest of Reality.",2012-11-27,"John Swain , Northeastern University.",male
419,"Léon Rosenfeld: Physics, Philosophy, and Politics in the Twentieth Century",2013-01-28,"Massimo Giovannini , CERN and INFN Milan-Bicocca.",male
420,LHC Physics,2013-01-28,"Carlos Lourenço , CERN.",male
421,Writing Science: How to Write Papers That Get Cited and Proposals That Get Funded,2013-01-28,Not Found,unknown
422,Relativistic Cosmology,2013-01-28,Not Found,unknown
423,Quantum Gravity (Third Edition),2013-01-28,Not Found,unknown
424,El ecologista nuclear,2013-02-20,"Antonella Del Rosso , CERN.",female
425,"Flavor Physics at the Tevatron: Decay, Mixing and CP Violation Measurements in proton-antiproton Collisions",2013-02-20,"Robert Fleischer , Nikhef and Vrije Universiteit Amsterdam.",male
426,Group Theory for High-Energy Physicists,2013-03-28,Not Found,unknown
427,"A Unified Grand Tour of Theoretical Physics, Third Edition",2013-03-28,Not Found,unknown
428,Gauge Theories of Gravitation: A Reader with Commentaries,2013-03-28,Not Found,unknown
429,Reviews of Accelerator Science and Technology: Volume 4 – Accelerator Applications in Industry and the Environment,2013-03-28,Not Found,unknown
430,"Introduction to Mathematical Physics: Methods and Concepts, Second Edition",2013-03-28,Not Found,unknown
431,"Strings, Gauge Fields, and the Geometry Behind the Legacy of Maximilian Kreuzer",2013-03-28,Not Found,unknown
432,Novel Superfluids: Volume 1,2013-04-26,Not Found,unknown
433,Industrial Accelerators and Their Applications,2013-04-26,Not Found,unknown
434,An Introduction to Non-Perturbative Foundations of Quantum Field Theory,2013-04-26,Not Found,unknown
435,Imaging gaseous detectors and their applications,2013-04-26,"Ariella Cattai , CERN.",unknown
436,Basic Concepts of String Theory,2013-05-22,"Wolfgang Lerche , CERN.",male
437,Lectures on Quantum Mechanics,2013-05-22,"Jeff Forshaw , University of Manchester.",male
438,Stochastic Cooling of Particle Beams,2013-05-22,"Christina Dimopoulou , GSI/Darmstadt.",female
439,The particle at the End of the Universe,2013-07-19,"Theresa Harrison , Ilmington.",female
440,Materia Strana (Strange Matter),2013-07-19,"Roberto Battison , University of Trento.",male
441,Strong in the rain,2013-07-19,"Steve Pritchard , University of the West of England.",male
442,Feynman’s Tips on Physics: Problem-Solving Supplement to the Feynman Lectures on Physics,2013-08-19,"John Swain , Northeastern University.",male
443,A Journey with Fred Hoyle (2nd Edition),2013-08-19,"Massimo Giovannini , CERN and INFN Milan-Bicocca.",male
444,Networks Geeks: How They Built the Internet,2013-08-19,"Cian O’Luanaigh , CERN.",male
445,Handbook of Radioactivity Analysis (3rd edition),2013-08-19,Not Found,unknown
446,Higgs. Le boson manquant,2013-09-27,Not Found,unknown
447,"Gauge Theories in Particle Physics: A Practical Introduction, Fourth Edition – 2 Volume Set",2013-09-27,Not Found,unknown
448,Le boson et le chapeau mexicain – Un nouveau grand récit de l’Univers,2013-09-27,"Frédérick Bordry , CERN.",male
449,Reviews of Accelerator Science and Technology: Volume 5 – Applications of Superconducting Technology to Accelerators,2013-10-21,"Christine Sutton , CERN.",female
450,Doing Physics: How Physicists Take Hold of the World (2nd edition),2013-10-21,"Theresa Harrison , Warwick University.",female
451,"The Adventurous Life of Friedrich Georg Houtermans, Physicist (1903–1966)",2013-11-20,"Antonella Del Rosso , CERN.",female
452,Madam Wu Chien-Shiung: The First Lady of Physics Research,2013-11-20,"Massimo Giovannini , CERN and INFN Milan-Bicocca.",male
453,Allegro Neutrino ou L’attrape-temps,2013-11-20,"Anaïs Schaeffer , CERN.",female
454,Time Reborn: From the Crisis of Physics to the Future of the Universe,2013-11-20,"Theresa Harrison , Warwick University.",female
455,The Conceptual Framework of Quantum Field Theory,2014-01-22,Not Found,unknown
456,Compound Semiconductor Radiation Detectors,2014-01-22,Not Found,unknown
457,Effective Theories in Physics: From Planetary Orbits to Elementary Particle Masses,2014-01-22,"John Swain , Northeastern University.",male
458,Lectures on LHC Physics,2014-01-22,Not Found,unknown
459,"Exploring Quantum Mechanics: A Collection of 700+ Solved Problems for Students, Lecturers, and Researchers",2014-01-22,Not Found,unknown
460,Reminiscences: A Journey through Particle Physics,2014-01-22,Not Found,unknown
461,Silicon Solid State Devices and Radiation Detection,2014-01-22,Not Found,unknown
462,À la recherche du boson de Higgs,2014-01-22,"Arnaud Marsollier , CERN.",male
463,Quantum Field Theories in Two Dimensions: Collected Works of Alexei Zamolodchikov (2 volumes)/,2014-01-22,Not Found,unknown
464,"Einstein’s Physics: Atoms, Quanta, and Relativity – Derived, Explained, and Appraised",2014-02-24,"Johann Rafelski , University of Arizona.",male
465,The Theory of the Quantum World: Proceedings of the 25th Solvay Conference on Physics,2014-02-24,Not Found,unknown
466,"Science, Religion, and the Search for Extraterrestrial Intelligence",2014-02-24,Not Found,unknown
467,Mathematics of Quantization and Quantum Fields,2014-02-24,Not Found,unknown
468,Three-Particle Physics and Dispersion Relation Theory,2014-02-24,Not Found,unknown
469,Introduction to the Statistical Physics of Integrable Many-body Systems,2014-03-28,Not Found,unknown
470,Gottes unsichtbare Würfel: Die Physik an den Grenzen des Erforschbaren,2014-03-28,"Hermine K Wöhri , CERN.",female
471,From the Web to the Grid and Beyond: Computing Paradigms Driven by High-Energy Physics,2014-03-28,"Peter Clarke , University of Edinburgh.",male
472,"Advanced General Relativity: Gravity Waves, Spinning Particles, and Black Holes",2014-03-28,Not Found,unknown
473,On the Topology and Future Stability of the Universe,2014-03-28,Not Found,unknown
474,Handbook of Accelerator Physics and Engineering (2nd edition),2014-03-28,Not Found,unknown
475,The Mass Gap and its Applications,2014-03-28,Not Found,unknown
476,Geometric and Topological Methods for Quantum Field Theory: Proceedings of the 2009 Villa de Leyva Summer School,2014-03-28,Not Found,unknown
477,Space–Time Symmetry and Quantum Yang–Mills Gravity: How Space–Time Translational Gauge Symmetry Enables the Unification of Gravity with Other Forces,2014-04-30,Not Found,unknown
478,Selected Papers II: With Commentaries,2014-04-30,Not Found,unknown
479,Relativistic Hydrodynamics,2014-04-30,Not Found,unknown
480,Hans Christian Ørsted: Reading Nature’s Mind,2014-04-30,Not Found,unknown
481,A Course in Field Theory,2014-04-30,"Massimo Giovannini , CERN and INFN Milan-Bicocca.",male
482,100 Years of Subatomic Physics,2014-04-30,Not Found,unknown
483,Fun in Fusion Research,2014-04-30,"Robert Bingham , Central Laser Facility, Rutherford Appleton Laboratory and University of Strathclyde.",male
484,Une introduction à L’aventure du grand collisionneur LHC: Du big bang au boson de Higgs,2014-05-22,"Carlos Lourenço , CERN.",male
485,Modern Particle Physics,2014-05-22,"Herbert Dreiner , University of Bonn.",male
486,Boundary Conformal Field Theory and the Worldsheet Approach to D-Branes,2014-05-22,Not Found,unknown
487,"An Introduction to Birth, Evolution and Death of Stars",2014-05-22,Not Found,unknown
488,Introduction to Modern Physics: Solutions to Problems,2014-05-22,Not Found,unknown
489,The Physics of Quantum Mechanics,2014-05-22,Not Found,unknown
490,Differential Manifolds: A Basic Approach for Experimental Physicists,2014-05-22,"Raymond Stora , CNRS.",male
491,"Microcosmos: The World of Elementary Particles. Fictional Discussions between Einstein, Newton, and Gell-Mann",2014-07-23,Not Found,unknown
492,Particle Fever,2014-07-23,"Kate Kahle , CERN.",female
493,Symmetry and Fundamental Physics: Tom Kibble at 80,2014-07-23,Not Found,unknown
494,Physics and Our World: Reissue of the Proceedings of a Symposium in Honor of Victor F Weisskopf,2014-07-23,Not Found,unknown
495,"Cosmic Cartoon Collection: Cartoons on Astronomy, Cosmology, Quarks, and other Physical Matters",2014-07-23,"Christine Sutton , CERN.",female
496,How Big is Big and How Small is Small: The Sizes of Everything and Why,2014-07-23,"Peggie Rimmer , Satigny/Oxford.",female
497,Henri Poincaré: A Biography Through the Daily Papers,2014-07-23,"Johann Rafelski , University of Arizona.",male
498,Un diplomate dans le siècle ; souvenirs et anecdotes,2014-07-23,"Corinne Pralavorio , CERN.",female
499,Modern Functional Quantum Field Theory: Summing Feynman Graphs,2014-08-26,Not Found,unknown
500,Semiconductor X-Ray Detectors,2014-08-26,Not Found,unknown
501,One Hundred Physics Visualizations Using MATLAB,2014-08-26,Not Found,unknown
502,A Brief History of String Theory: From Dual Models to M-Theory,2014-08-26,"Wolfgang Lerche , CERN.",male
503,"The Physics of Reality: Space, Time, Matter, Cosmos",2014-08-26,Not Found,unknown
504,Statistical Data Analysis for the Physical Sciences,2014-08-26,"Fred James , CERN.",male
505,Fission and Properties of Neutron-Rich Nuclei: Proceedings of the Fifth International Conference,2014-08-26,Not Found,unknown
506,Physics With Trapped Charged Particles,2014-09-23,Not Found,unknown
507,Strong Coupling Gauge Theories in the LHC Perspective (SCGT12),2014-09-23,Not Found,unknown
508,Dark Matter and Cosmic Web Story,2014-09-23,Not Found,unknown
509,Proceedings of the Sixth Meeting on CPT and Lorentz Symmetry,2014-09-23,Not Found,unknown
510,Innovative Applications and Developments of Micro-Pattern Gaseous Detectors,2014-09-23,"Anton Oed , who introduced the concept of the micro-strip gas chamber in 1988 – at the Institut Laue–Langevin.",male
511,Portrait of Gunnar Källén: A Physics Shooting Star and Poet of Early Quantum Field Theory,2014-09-23,"André Martin , CERN.",male
512,Engines of Discovery: A Century of Particle Accelerators. Revised and Expanded Edition,2014-09-23,"Christine Sutton , CERN.",female
513,Reviews of Accelerator Science and Technology: Volume 6 – Accelerators for High Intensity Beams,2014-10-27,Not Found,unknown
514,Accelerator Physics at the Tevatron Collider,2014-10-27,"Frank Zimmermann , CERN.",male
515,Beam Dynamics in High Energy Particle Accelerators,2014-10-27,"John Jowett , CERN.",male
516,Principles of Discrete Time Mechanics,2014-10-27,Not Found,unknown
517,Path Integrals and Hamiltonians: Principles and Methods,2014-10-27,Not Found,unknown
518,Nambu: A Foreteller of Modern Physics,2014-10-27,"Christine Sutton , CERN.",female
519,Publishing and the Advancement of Science: From Selfish Genes to Galileo’s Finger,2014-11-27,"Cian O’Luanaigh , CERN.",male
520,Behind the Scenes of the Universe: From the Higgs to Dark Matter,2014-11-27,"Carlos Lourenço , CERN.",male
521,Time in Powers of Ten: Natural Phenomena and Their Timescales,2014-11-27,"Emma Sanders , CERN, author of The Large Hadron Collider Pop-Up Book: Voyage to the Heart of Matter (Papadakis 2013).",female
522,"Faraday, Maxwell, and the Electromagnetic Field: How Two Men Revolutionized Physics",2014-11-27,"Massimo Giovannini , CERN and INFN Milan-Bicocca.",male
523,Proceedings of the Conference in Honour of the 90th Birthday of Freeman Dyson,2015-01-27,Not Found,unknown
524,What We Would Like LHC to Give Us,2015-01-27,Not Found,unknown
525,The Bethe Wavefunction,2015-01-27,Not Found,unknown
526,Symmetries in Nature: The Scientific Heritage of Louis Michel,2015-01-27,Not Found,unknown
527,Data Analysis in High Energy Physics: A Practical Guide to Statistical Methods,2015-01-27,"Fred James , CERN.",male
528,"Gravity: Newtonian, Post-Newtonian, Relativistic",2015-01-27,"Johann Rafelski , University of Arizona.",male
529,"Astroparticle, Particle, Space Physics and Detectors for Physics Applications: Proceedings of the 14th ICATPP Conference",2015-01-27,Not Found,unknown
530,Next Generation Experiments to Measure the Neutron Lifetime: Proceedings of the 2012 Workshop,2015-01-27,Not Found,unknown
531,Introduction to Elementary Particle Physics (2nd edition),2015-02-23,"James W Rohlf , Boston University.",male
532,Physics of Long-Range Interacting Systems,2015-02-23,Not Found,unknown
533,Dark Energy,2015-02-23,Not Found,unknown
534,Nobel Lectures in Physics (2006–2010),2015-02-23,Not Found,unknown
535,Neutrinos in High Energy and Astroparticle Physics,2015-04-09,"Heinrich Päs , TU Dortmund, and  Sandip Pakvasa , University of Hawaii.",male
536,Quantum Field Theory for the Gifted Amateur,2015-04-09,"Johann Rafelski , University of Arizona.",male
537,"Gauge Theories of the Strong, Weak, and Electromagnetic Interactions (2nd edition)",2015-04-09,"Johann Rafelski , University of Arizona.",male
538,Canonical Quantum Gravity: Fundamentals and Recent Developments,2015-04-09,Not Found,unknown
539,"From Physics to Daily Life: Applications in Informatics, Energy, and Environment and From Physics to Daily Life: Applications in Biology, Medicine and Healthcare",2015-06-02,"Francois Grey,  University of Geneva.",unknown
540,Crackle and Fizz: Essential Communication and Pitching Skills for Scientists,2015-07-22,"Will Davies , Live Science Team, @Bristol.",mostly_male
541,To Explain the World: The Discovery of Modern Science,2015-07-22,"Massimo Giovannini , CERN and INFN Milan-Bicocca.",male
542,The Oskar Klein Memorial Lectures 1988–1999,2015-07-22,"Johann Rafelski , The University of Arizona",male
543,"The Beauty of Physics: Patterns, Principles, and Perspectives",2015-07-22,Not Found,unknown
544,A Chorus of Bells and Other Scientific Inquiries,2015-07-22,Not Found,unknown
545,International Seminars on Nuclear War and Planetary Emergencies 46th Session: The Role of Science in the Third Millennium,2015-08-26,Not Found,unknown
546,Particle Accelerators: From Big Bang Physics to Hadron Therapy,2015-08-26,"Christine Sutton , CERN.",female
547,"Birds and Frogs: Selected Papers, 1990–2014",2015-08-26,"John Swain , Northeastern University.",male
548,High Gradient Accelerating Structure,2015-08-26,Not Found,unknown
549,Nuclear Radiation Interactions,2015-08-26,Not Found,unknown
550,Cosmic Ray Origin: Beyond the Standard Models,2015-08-26,Not Found,unknown
551,Beyond the Standard Model of Elementary Particle Physics,2015-09-25,Not Found,unknown
552,Lie Groups and Lie Algebras for Physicists,2015-09-25,Not Found,unknown
553,"Ken Wilson Memorial Volume: Renormalization, Lattice Gauge Theory, the Operator Product Expansion and Quantum Fields",2015-09-25,"John Swain , Northeastern University.",male
554,Quantum Statistical Mechanics: Selected Works of N N Bogolubov,2015-09-25,Not Found,unknown
555,Qu’est-ce que le boson de Higgs mange en hiver et autres détails essentiels,2015-10-28,"Philippe Bloch , CERN.",male
556,The Singular Universe and the Reality of Time: A Proposal in Natural Philosophy,2015-10-28,"John Swain , Northeastern University.",male
557,Supersymmetric Field Theories: Geometric Structures and Dualities,2015-11-13,Not Found,unknown
558,From the Great Wall to the Great Collider: China and the Quest to Uncover the Inner Workings of the Universe,2015-11-13,Not Found,unknown
559,QCD and Heavy Quarks: In Memoriam Nikolai Uraltsev,2015-11-13,Not Found,unknown
560,Inflation and String Theory,2015-11-13,Not Found,unknown
561,"Gaseous Radiation Detectors: Fundamentals and Applications (Cambridge Monographs on Particle Physics, Nuclear Physics and Cosmology)",2015-11-13,"Vladimir Peskov , CERN.",male
562,"Particle and Astroparticle Physics, Gravitation and Cosmology: Predictions, Observation and New Projects – Proceedings of the XXXth",2015-11-13,Not Found,unknown
563,Nuclear and Particle Physics,2015-11-13,Not Found,unknown
564,Quantum Field Theory and the Standard Model,2015-11-13,Not Found,unknown
565,General Relativity and Gravitation: A Centennial Perspective,2015-11-13,Not Found,unknown
566,Silver Nanoparticles: From Silver Halide Photography to Plasmonics,2016-01-15,Not Found,unknown
567,Key Nuclear Reaction Experiments: Discoveries and Consequences,2016-01-15,Not Found,unknown
568,Modern Optics (2nd edition),2016-01-15,Not Found,unknown
569,The Large Hadron Collider: Harvest of Run 1,2016-01-15,"Paolo Meridiani , INFN Roma (Italy).",male
570,Lectures on Quantum Mechanics (2nd edition),2016-01-15,Not Found,unknown
571,Instantons and Large N: An Introduction to Non-Perturbative Methods in Quantum Field Theory,2016-01-15,Not Found,unknown
572,Introduction to the Ads/CFT Correspondence,2016-01-15,Not Found,unknown
573,The Standard Model of Quantum Physics in Clifford Algebra,2016-01-15,Not Found,unknown
574,Classical Dynamics: A Modern Perspective (2nd edition),2016-01-15,Not Found,unknown
575,60 Years of CERN Experiments and Discoveries,2016-01-15,"Rogelio Palomo , University of Sevilla (Spain).",male
576,Combinatorial Identities for Stirling Numbers: The Unpublished Notes of H W Gould,2016-02-12,Not Found,unknown
